label,TF_UNIGRAM,IDF_UNIGRAM,TFIDF_UNIGRAM
"['baca', 'ya', 'ga', 'data', 'percaya', 'jokowi', 'perhati', 'urus', 'harga', 'bilang', 'tarik', '']","[0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091]","[5.499809670330265, 5.31748811353631, 5.605170185988092, 3.973753366835216, 3.5977021439333448, 1.8362480242006185, 5.237445405862774, 6.19295685089021, 6.41610040220442, 5.8564846142689975, 3.70805020110221]","[0.49998269730275136, 0.48340801032148273, 0.5095609259989174, 0.36125030607592873, 0.3270638312666677, 0.16693163856369259, 0.4761314005329794, 0.5629960773536555, 0.5832818547458564, 0.5324076922062725, 0.33709547282747365]"
"['banding', 'dgn', 'mandalika', 'yg', 'habis', 't', 'blm', 'bengkak', '', 'skrg', 'mangkrak']","[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]","[5.499809670330265, 7.1092475827643655, 5.605170185988092, 4.80666248977032, 6.19295685089021, 7.1092475827643655, 6.703782474656201, 6.0106352940962555, 2.666596326274049]","[0.6110899633700294, 0.7899163980849294, 0.6227966873320102, 0.53407360997448, 0.6881063167655789, 0.7899163980849294, 0.7448647194062445, 0.667848366010695, 0.2962884806971165]"
"['banding', 'zaman', 'orba', 'rezim', 'jokowi', 'effendi', 'simbol', 'perintah', 'cerdas', 'cerdik']","[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]","[5.499809670330265, 6.19295685089021, 6.41610040220442, 1.8362480242006185, 3.952247161614252, 4.666900547395161, 6.0106352940962555]","[0.7856870957614663, 0.8847081215557443, 0.9165857717434885, 0.26232114631437403, 0.5646067373734646, 0.6667000781993088, 0.8586621848708936]"
"['bangsa', 'celaka', 'fatal', 'sodor', 'jokowi', 'sbg', 'presiden', 'main', 'elite', 'politik', 'kolaborasi', 'dgn', 'cukong', 'oligarki', 'elite', 'politik', 'emas', 'sodor', 'jokowi', 'pd', 'rakyat', 'dgn', 'milu', 'kemas', 'tai', 'kucing', 'dgn', 'pisang', 'sale']","[0.05263157894736842, 0.15789473684210525, 0.10526315789473684, 0.10526315789473684, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842]","[5.605170185988092, 4.80666248977032, 7.1092475827643655, 1.8362480242006185, 6.19295685089021, 5.499809670330265, 6.0106352940962555, 6.19295685089021, 5.722953221644475, 4.912023005428146, 3.313758393592171, 3.47166142303798, 6.703782474656201, 6.703782474656201]","[0.295008957157268, 0.758946708911103, 0.7483418508173016, 0.19328926570532826, 0.3259450974152742, 0.2894636668594876, 0.31634922600506604, 0.3259450974152742, 0.3012080642970776, 0.5170550532029627, 0.17440833650485107, 0.18271902226515682, 0.35283065656085266, 0.35283065656085266]"
"['bangsa', 'indonesia', 'jokowi', 'tetep', 'puja', 'puja', 'bangsa', '', '']","[0.2857142857142857, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857, 0.14285714285714285]","[5.605170185988092, 3.7950615780918397, 1.8362480242006185, 6.19295685089021, 6.703782474656201]","[1.6014771959965977, 0.5421516540131199, 0.26232114631437403, 1.7694162431114886, 0.9576832106651715]"
"['bangun', 'kota', 'masuk', 'proyek', 'strategis', 'nasional', 'updatecibinong', 'proyek', 'ikn', 'psn', 'jokowi']","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.2, 0.1, 0.1]","[4.969181419268095, 5.605170185988092, 1.8362480242006185, 5.722953221644475, 5.8564846142689975, 6.19295685089021, 5.605170185988092, 6.703782474656201, 6.41610040220442]","[0.4969181419268095, 0.5605170185988092, 0.18362480242006185, 0.5722953221644475, 0.5856484614268997, 0.6192956850890211, 1.1210340371976184, 0.6703782474656201, 0.6416100402204421]"
"['bangun', 'tol', 't', 'jual', 't']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[4.969181419268095, 5.605170185988092, 6.703782474656201]","[1.6563938064226982, 1.8683900619960305, 2.2345941582187336]"
"['bantu', 'gor', 'blk', 'trilunan', 'untuk', 'pesantren', 'apakabar', 'yai', 'yg', 'tdk', 'fungsi', 'tuh', 'rsnu', 'dpt', 'bantu', 'kafir', 'urus', 'bantu', 'perintah', 'yg', 'jorjoran', 'nu', 'jual', 'anti', 'politik', 'identitas']","[0.07142857142857142, 0.21428571428571427, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.14285714285714285]","[7.1092475827643655, 5.31748811353631, 6.703782474656201, 5.605170185988092, 3.952247161614252, 4.912023005428146, 7.1092475827643655, 4.470190253149108, 5.8564846142689975, 5.8564846142689975, 2.666596326274049]","[0.5078033987688833, 1.1394617386149235, 0.47884160533258574, 0.4003692989991494, 0.2823033686867323, 0.35085878610201043, 0.5078033987688833, 0.3192993037963648, 0.41832032959064264, 0.41832032959064264, 0.3809423323248641]"
"['bantu', 'up']",[1.0],[5.31748811353631],[5.31748811353631]
"['bapack', 'jokowi', 'rakyat', 'liat', 'baju', 'sepatu', 'lokal', 'ga', 'mahal', 'ko', 'si', 'pilih', 'tri', 'hedon', 'gin', 'si', 'kapasitas', 'anggap', 'cakap', 'bidang', 'urus', 'moral', 'samping', 'tp', 'cocok', 'ga', 'si', 'akhlak', '', '']","[0.05, 0.05, 0.1, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.15, 0.05, 0.05, 0.05]","[6.41610040220442, 7.1092475827643655, 3.973753366835216, 5.499809670330265, 1.8362480242006185, 6.703782474656201, 6.19295685089021, 5.40449949052594, 6.703782474656201, 6.41610040220442, 5.499809670330265, 4.7578723256008875, 3.47166142303798, 5.499809670330265, 6.0106352940962555, 5.163337433709052, 5.8564846142689975]","[0.32080502011022105, 0.3554623791382183, 0.3973753366835216, 0.2749904835165133, 0.09181240121003093, 0.33518912373281007, 0.30964784254451055, 0.270224974526297, 0.33518912373281007, 0.32080502011022105, 0.2749904835165133, 0.23789361628004438, 0.173583071151899, 0.8249714505495397, 0.3005317647048128, 0.2581668716854526, 0.2928242307134499]"
"['bbm', 'blm', 'smpe', 'ky', 'sby', 'bawah', 'negara', 'wajar', 'koruptor', '', 'iyaa', 'yg', 'ketangkep', 'jam', 'jokowi', 'dlu', 'koruptor', 'tp', 'gak', 'yg', 'ktangkep', 'jd', 'kliatan', 'sdikit', 'marga', 'otak', 'beda', 'elu', 'baharrijik', 'vs', 'nabi']","[0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.08333333333333333, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.08333333333333333]","[6.19295685089021, 3.167665775094675, 5.722953221644475, 5.605170185988092, 6.19295685089021, 7.1092475827643655, 4.064725145040942, 7.1092475827643655, 7.1092475827643655, 4.969181419268095, 1.8362480242006185, 7.1092475827643655, 4.58351893845611, 6.703782474656201, 7.1092475827643655, 4.138833117194665, 5.163337433709052, 4.969181419268095, 6.0106352940962555, 7.1092475827643655, 6.41610040220442, 2.666596326274049]","[0.25803986878709206, 0.13198607396227813, 0.23845638423518645, 0.23354875774950382, 0.25803986878709206, 0.29621864928184855, 0.16936354771003925, 0.29621864928184855, 0.29621864928184855, 0.20704922580283727, 0.07651033434169244, 0.29621864928184855, 0.3819599115380091, 0.2793242697773417, 0.29621864928184855, 0.17245137988311102, 0.21513905973787717, 0.20704922580283727, 0.25044313725401063, 0.29621864928184855, 0.26733751675851747, 0.2222163605228374]"
"['bbm', 'presiden', 'jokowi', 'tepat', 'janji', 'fraksi', 'pks', 'walk', 'out', 'makzulinlurahngibul', 'makzulinlurahngibul']","[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857, 0.14285714285714285, 0.14285714285714285]","[3.167665775094675, 4.969181419268095, 1.8362480242006185, 4.088822696620003, 6.19295685089021, 3.313758393592171]","[0.4525236821563821, 0.7098830598954421, 0.26232114631437403, 1.1682350561771437, 0.8847081215557443, 0.47339405622745295]"
