label,tweet
"['dar', 'muskir', 'ratpik', 'alias', 'melarat', 'pikir', 'wkwkwk']",dar muskir ratpik alias melarat pikir wkwkwk
"['dasar', 'bajul', 'lu', 'ras', 'ga', 'ngaku', 'bajul', 'buntung', '']",dasar bajul lu ras ga ngaku bajul buntung
"['dasar', 'kacung', 'manusia', 'gurun']",dasar kacung manusia gurun
"['daya', 'ekonomi', 'naik', 'harga', 'bbm', 'naik', 'ppn', 'pajak', 'pake', 'dana', 'haji', 'hutang', 'many', 'more']",daya ekonomi naik harga bbm naik ppn pajak pake dana haji hutang many more
"['demo', 'bbm', 'jakarta', 'jokowi', 'gelar', 'rapat', 'tutup', 'bogor', 'makzulinlurahngibul', 'makzulinlurahngibul']",demo bbm jakarta jokowi gelar rapat tutup bogor makzulinlurahngibul makzulinlurahngibul
"['demo', 'bbm', 'jakarta', 'jokowi', 'gelar', 'rapat', 'tutup', 'bogor', 'moga', 'putus', 'pro', 'rakyat', 'makzulinlurahngibul', 'makzulinlurahngibul']",demo bbm jakarta jokowi gelar rapat tutup bogor moga putus pro rakyat makzulinlurahngibul makzulinlurahngibul
"['demo', 'bbm', 'jakarta', 'jokowi', 'gelar', 'rapat', 'tutup', 'bogor', 'yg', 'bilang', 'kangen', 'demo', 'yaa', '', '', 'kabur', 'bogor', 'loe', '', '', '', 'makzulinlurahngibul', 'makzulinlurahngibul', '']",demo bbm jakarta jokowi gelar rapat tutup bogor yg bilang kangen demo yaa kabur bogor loe makzulinlurahngibul makzulinlurahngibul
"['demo', 'ganggu', 'rakyat', 'rakyat', 'yg', 'maksud']",demo ganggu rakyat rakyat yg maksud
"['demo', 'kayak', 'orang', 'eropa', 'barat', 'yg', 'tertib', 'tdk', 'cedera']",demo kayak orang eropa barat yg tertib tdk cedera
"['demo', 'lokal', 'lokal', 'laku', 'yg', 'satu', 'indonesia', 'turun', 'jokowi']",demo lokal lokal laku yg satu indonesia turun jokowi
