,final,TF_UNIGRAM,IDF_UNIGRAM,TFIDF_UNIGRAM
38,maaf kl oot tp nyari yg nama diandra sm safitri yg ntn konser txt ice section blue sm pink kl gasalah foto bareng shuttle st cisauk ice tgl jam set foto yg alat deteksi suhu gt mnt cont,"[0.04, 0.04, 0.08, 0.04, 0.08, 0.04, 0.08, 0.04, 0.04, 0.04, 0.04, 0.04, 0.08, 0.04, 0.04, 0.04, 0.04, 0.04, 0.12]","[6.29931686688112, 4.2978368666709965, 5.269697449699962, 5.962844630259907, 7.90875477931522, 5.018383021419056, 6.29931686688112, 5.962844630259907, 5.4238481295272205, 5.200704578213011, 6.29931686688112, 7.215607598755275, 5.200704578213011, 7.215607598755275, 6.810142490647111, 6.810142490647111, 4.1475546636216585, 7.215607598755275, 2.8525089739669127]","[0.2519726746752448, 0.17191347466683987, 0.4215757959759969, 0.2385137852103963, 0.6327003823452176, 0.20073532085676224, 0.5039453493504896, 0.2385137852103963, 0.21695392518108883, 0.20802818312852045, 0.2519726746752448, 0.288624303950211, 0.4160563662570409, 0.288624303950211, 0.27240569962588446, 0.27240569962588446, 0.16590218654486635, 0.288624303950211, 0.3423010768760295]"
39,foto tp lupa ga mutwualan minta kontak kl ad yg tau nnti ku dm yah makas banyak,"[0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142]","[6.116995310087166, 6.29931686688112, 4.864232341591798, 5.269697449699962, 2.7326050467413916, 6.29931686688112, 6.29931686688112, 4.96431580014878, 5.51085950651685, 5.962844630259907, 4.1475546636216585, 4.1475546636216585, 5.711530201979001, 2.8525089739669127]","[0.43692823643479756, 0.44995120477722284, 0.347445167256557, 0.3764069606928544, 0.19518607476724226, 0.44995120477722284, 0.44995120477722284, 0.35459398572491285, 0.3936328218940607, 0.4259174735899933, 0.29625390454440415, 0.29625390454440415, 0.40796644299850005, 0.20375064099763662]"
40,wkwk ril cry https tco wxryaipvqs,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[2.2992829841302607, 2.2992829841302607, 6.116995310087166]","[0.7664276613767536, 0.7664276613767536, 2.0389984366957217]"
41,ken ngumpulin fans yungblud say hi dongg,"[0.25, 0.25, 0.25, 0.25]","[6.116995310087166, 5.962844630259907, 4.353406717825807, 6.810142490647111]","[1.5292488275217915, 1.4907111575649767, 1.0883516794564518, 1.7025356226617778]"
42,gue gada pacar asa banget buset https tco abtxzo,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]","[5.711530201979001, 3.81441021709312, 6.810142490647111, 4.38239425469906, 2.2992829841302607, 4.412247217848741, 2.2992829841302607]","[0.8159328859970001, 0.5449157452990171, 0.972877498663873, 0.6260563220998656, 0.32846899773289434, 0.6303210311212486, 0.32846899773289434]"
43,halooo bantu like lomba foto kreatif kelas ku ga nilai dasar like nih dm linknya,"[0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.15384615384615385, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693]","[4.864232341591798, 6.810142490647111, 4.864232341591798, 5.269697449699962, 2.7326050467413916, 6.810142490647111, 5.51085950651685, 4.96431580014878, 5.51085950651685, 6.52246041819533, 6.52246041819533, 5.962844630259907]","[0.37417171858398446, 0.5238571146651624, 0.37417171858398446, 0.40536134228461246, 0.21020038821087628, 0.5238571146651624, 0.4239122697320654, 0.3818704461652908, 0.8478245394641308, 0.5017277244765639, 0.5017277244765639, 0.458680356173839]"
44,saranin earphone bluetooth yg bagus awet makasih,"[0.2, 0.2, 0.2, 0.2, 0.2]","[6.810142490647111, 5.711530201979001, 4.689878954447019, 4.817712325956904, 2.8525089739669127]","[1.3620284981294224, 1.1423060403958003, 0.937975790889404, 0.9635424651913809, 0.5705017947933826]"
45,no salty gais lofyu ol https tco,"[0.2, 0.2, 0.2, 0.2, 0.2]","[4.650658241293739, 2.2992829841302607, 5.711530201979001, 5.711530201979001, 2.2992829841302607]","[0.9301316482587478, 0.4598565968260522, 1.1423060403958003, 1.1423060403958003, 0.4598565968260522]"
46,ak ngantuk tp tugas besok jam gin enak tidur nugas nugas tidur,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.2, 0.1, 0.1]","[5.4238481295272205, 5.4238481295272205, 6.116995310087166, 4.245193133185574, 5.018383021419056, 6.810142490647111, 4.730700948967275, 4.1475546636216585, 5.13616605707544]","[0.5423848129527221, 0.5423848129527221, 0.6116995310087167, 0.4245193133185574, 0.5018383021419056, 0.6810142490647112, 0.946140189793455, 0.41475546636216587, 0.513616605707544]"
47,yg  charger type hp oppo sopi bisikin  nya,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[5.13616605707544, 6.810142490647111, 2.8525089739669127]","[1.7120553523584798, 2.2700474968823703, 0.9508363246556375]"
