,final,TF_UNIGRAM,IDF_UNIGRAM,TFIDF_UNIGRAM
706,hai kaya gin nggak ngembaliin foto video gimana google foto ngga https tco,"[0.2, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[5.269697449699962, 3.749871695955549, 4.245193133185574, 2.2992829841302607, 4.817712325956904, 4.730700948967275, 5.4238481295272205, 2.2992829841302607, 6.52246041819533]","[1.0539394899399923, 0.3749871695955549, 0.4245193133185574, 0.2299282984130261, 0.48177123259569044, 0.4730700948967275, 0.5423848129527221, 0.2299282984130261, 0.652246041819533]"
707,yg ig kesuspend cung,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[4.507557397653065, 6.810142490647111, 2.8525089739669127]","[1.5025191325510217, 2.2700474968823703, 0.9508363246556375]"
708,guys yg ip user instagramnya ga,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[2.7326050467413916, 3.303584593327129, 7.215607598755275, 6.52246041819533, 6.52246041819533, 2.8525089739669127]","[0.4554341744568986, 0.5505974322211882, 1.2026012664592125, 1.0870767363658882, 1.0870767363658882, 0.47541816232781875]"
709,banding nang nyalahin kecewa sakit milih kuatin kasih ikhlas thp yg laluin alhamdulillah ringan,"[0.2, 0.2, 0.2, 0.2, 0.2]","[7.215607598755275, 4.773260563386071, 5.51085950651685, 4.96431580014878, 2.8525089739669127]","[1.4431215197510552, 0.9546521126772142, 1.10217190130337, 0.992863160029756, 0.5705017947933826]"
710,gaes saranin film drama yg sedih,"[0.2, 0.2, 0.2, 0.2, 0.2]","[5.51085950651685, 6.810142490647111, 4.817712325956904, 5.075541435259004, 2.8525089739669127]","[1.10217190130337, 1.3620284981294224, 0.9635424651913809, 1.015108287051801, 0.5705017947933826]"
711,tau balikin akun ig tangguh ngak ig banget data takut ngak,"[0.1, 0.1, 0.1, 0.1, 0.2, 0.2, 0.1, 0.1]","[4.96431580014878, 6.810142490647111, 3.81441021709312, 6.29931686688112, 4.507557397653065, 6.810142490647111, 4.474767574830074, 4.1475546636216585]","[0.496431580014878, 0.6810142490647112, 0.38144102170931204, 0.6299316866881121, 0.9015114795306132, 1.3620284981294224, 0.4474767574830074, 0.41475546636216587]"
712,guys biar sabar gimana yahhh,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[4.689878954447019, 3.749871695955549, 3.303584593327129]","[1.5632929848156731, 1.2499572319851828, 1.1011948644423764]"
713,temenku panik acc ig kesuspend gak,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[5.829313237635384, 3.689247074139114, 4.507557397653065, 6.810142490647111, 6.29931686688112, 6.29931686688112]","[0.971552206272564, 0.6148745123565189, 0.7512595662755108, 1.1350237484411851, 1.0498861444801866, 1.0498861444801866]"
714,casual listener of taylor swift here i m guy with two water placement in my chart watches you and breaking bad and lately i m looking forward to chainsaw man oh i m big fan of drake and abel tesfaye too big time wanna be my companion,"[0.2, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.13333333333333333, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667]","[5.075541435259004, 5.4238481295272205, 5.200704578213011, 5.4238481295272205, 5.829313237635384, 6.810142490647111, 4.773260563386071, 6.29931686688112, 7.215607598755275, 6.29931686688112, 4.730700948967275]","[1.015108287051801, 0.3615898753018147, 0.34671363854753406, 0.7231797506036294, 0.7772417650180512, 0.45400949937647406, 0.3182173708924047, 0.41995445779207463, 0.48104050658368497, 0.41995445779207463, 0.315380063264485]"
715,guys freelancer design udah yg kenal tp jenuh bgt pake brandku yg kalo full nama yay or nay,"[0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.14285714285714285]","[3.7978809151419095, 6.810142490647111, 3.303584593327129, 3.2547944291576973, 5.962844630259907, 5.200704578213011, 6.29931686688112, 5.4238481295272205, 3.9769291465908947, 4.1475546636216585, 3.5780214390288894, 6.29931686688112, 2.8525089739669127]","[0.2712772082244221, 0.4864387493319365, 0.23597032809479493, 0.23248531636840694, 0.4259174735899933, 0.37147889844378645, 0.44995120477722284, 0.3874177235376586, 0.2840663676136353, 0.29625390454440415, 0.25557295993063495, 0.44995120477722284, 0.40750128199527325]"
716,sender kelas xi sma ken nyoba cari cuan jual makan sistem preorder gituu mumpung sender tinggal kabupaten jarang kalo makan simple minat tiaa,"[0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.06666666666666667, 0.06666666666666667]","[5.711530201979001, 6.52246041819533, 6.810142490647111, 5.962844630259907, 3.2547944291576973, 5.51085950651685, 4.353406717825807, 4.96431580014878, 7.215607598755275, 5.962844630259907, 3.4428466606606367, 6.116995310087166, 5.829313237635384]","[0.38076868013193343, 0.4348306945463553, 0.45400949937647406, 0.39752297535066045, 0.21698629527717983, 0.36739063376778996, 0.2902271145217205, 0.6619087733531707, 0.48104050658368497, 0.39752297535066045, 0.4590462214214182, 0.4077996873391444, 0.3886208825090256]"
717,buka rek bc expresi yg ngga buku tabung worth it ngga,"[0.125, 0.125, 0.125, 0.25, 0.125, 0.125, 0.125]","[5.343805421853684, 6.116995310087166, 6.52246041819533, 4.730700948967275, 6.810142490647111, 7.215607598755275, 2.8525089739669127]","[0.6679756777317105, 0.7646244137608957, 0.8153075522744162, 1.1826752372418188, 0.8512678113308889, 0.9019509498444094, 0.3565636217458641]"
718,guys ig suka gitu ga sih ig dri kmrin keluar buka,"[0.125, 0.125, 0.125, 0.125, 0.25, 0.125, 0.125]","[5.343805421853684, 2.7326050467413916, 3.8657035114806706, 3.303584593327129, 4.507557397653065, 4.124565145396959, 4.2978368666709965]","[0.6679756777317105, 0.34157563084267395, 0.4832129389350838, 0.41294807416589113, 1.1268893494132664, 0.5155706431746199, 0.5372296083338746]"
719,gais ig followers turun drastis gak ig ku turun drastis aman dalem hitung menit kurang followers followers kurang following ku ga kurang,"[0.05555555555555555, 0.05555555555555555, 0.16666666666666666, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.1111111111111111, 0.1111111111111111, 0.16666666666666666, 0.05555555555555555, 0.1111111111111111]","[5.51085950651685, 6.29931686688112, 7.215607598755275, 2.7326050467413916, 4.650658241293739, 3.689247074139114, 4.507557397653065, 4.96431580014878, 7.215607598755275, 6.116995310087166, 5.962844630259907]","[0.3061588614731583, 0.3499620481600622, 1.2026012664592125, 0.15181139148563286, 0.25836990229409657, 0.20495817078550632, 0.5008397108503406, 0.5515906444609755, 1.2026012664592125, 0.3398330727826203, 0.6625382922511007]"
720,help me sender pas buka ig tiba kaya gin akun ga makasihhh https tco gstdnkrtdh,"[0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693]","[4.96431580014878, 5.343805421853684, 2.7326050467413916, 4.245193133185574, 5.51085950651685, 2.2992829841302607, 4.507557397653065, 4.817712325956904, 5.075541435259004, 4.1710851610318525, 3.4428466606606367, 2.2992829841302607, 6.29931686688112]","[0.3818704461652908, 0.4110619555272065, 0.21020038821087628, 0.3265533179373519, 0.4239122697320654, 0.17686792185617392, 0.3467351844348512, 0.3705932558428388, 0.39042626425069266, 0.3208527046947579, 0.2648343585123567, 0.17686792185617392, 0.48456283591393234]"
721,gais jgn salty sender tdi uji trus kelas ngajak barter kj ajar yg beda sender muncul ga nyaman gtu nolak yg gmn makasih banyak,"[0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.1, 0.05, 0.05, 0.05, 0.1]","[5.6061696863211745, 6.29931686688112, 6.810142490647111, 5.962844630259907, 2.7326050467413916, 4.650658241293739, 5.51085950651685, 6.810142490647111, 6.116995310087166, 5.51085950651685, 4.689878954447019, 5.962844630259907, 5.711530201979001, 3.4428466606606367, 6.29931686688112, 5.6061696863211745, 6.52246041819533, 2.8525089739669127]","[0.28030848431605876, 0.31496584334405603, 0.3405071245323556, 0.29814223151299535, 0.13663025233706957, 0.23253291206468696, 0.2755429753258425, 0.3405071245323556, 0.30584976550435833, 0.2755429753258425, 0.234493947722351, 0.29814223151299535, 0.2855765100989501, 0.34428466606606367, 0.31496584334405603, 0.28030848431605876, 0.3261230209097665, 0.2852508973966913]"
722,instagram tiba nonaktif trs suruh masukin kode yg kirim email hp abis masukin ngga notif apa muter doang halaman diaktifin,"[0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.15384615384615385, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693]","[4.96431580014878, 6.29931686688112, 5.018383021419056, 5.13616605707544, 6.116995310087166, 6.29931686688112, 6.29931686688112, 4.730700948967275, 5.829313237635384, 6.29931686688112, 4.864232341591798, 2.8525089739669127]","[0.3818704461652908, 0.48456283591393234, 0.3860294631860812, 0.3950896966981108, 0.4705381007759359, 0.48456283591393234, 0.9691256718278647, 0.3639000729974827, 0.4484087105873373, 0.48456283591393234, 0.37417171858398446, 0.21942376722822407]"
723,manggil pacar crush pake sebut,"[0.25, 0.25, 0.25, 0.25]","[4.507557397653065, 4.412247217848741, 3.9769291465908947, 6.810142490647111]","[1.1268893494132664, 1.1030618044621852, 0.9942322866477237, 1.7025356226617778]"
724,instagram bersih gimana sih ga ngapain overthinking anjir,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[6.810142490647111, 2.7326050467413916, 3.749871695955549, 6.116995310087166, 6.29931686688112, 4.124565145396959]","[1.1350237484411851, 0.4554341744568986, 0.6249786159925914, 1.0194992183478608, 1.0498861444801866, 0.6874275242328265]"
725,okt gin bgt liat crush foto sm cewe masukin story judul laguny lover,"[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]","[3.7978809151419095, 5.51085950651685, 4.507557397653065, 5.269697449699962, 4.245193133185574, 4.612917913310891, 6.29931686688112, 5.200704578213011, 6.810142490647111]","[0.42198676834910104, 0.6123177229463166, 0.5008397108503406, 0.5855219388555513, 0.4716881259095082, 0.5125464348123212, 0.6999240963201244, 0.5778560642458901, 0.7566824989607901]"
726,help cowok klo luk blkg tanda apaaa pisah gue pas peluk gitu lgsg lepasin lari kabur krn salting bgt btw im https tco,"[0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667]","[3.7978809151419095, 5.200704578213011, 5.6061696863211745, 3.8657035114806706, 4.38239425469906, 5.51085950651685, 2.2992829841302607, 6.52246041819533, 6.810142490647111, 5.018383021419056, 6.29931686688112, 4.1710851610318525, 6.810142490647111, 6.52246041819533, 2.2992829841302607]","[0.2531920610094606, 0.34671363854753406, 0.373744645754745, 0.2577135674320447, 0.2921596169799373, 0.36739063376778996, 0.15328553227535072, 0.4348306945463553, 0.45400949937647406, 0.3345588680946037, 0.41995445779207463, 0.27807234406879017, 0.45400949937647406, 0.4348306945463553, 0.15328553227535072]"
727,sender ultah udah ganti gaada ucapin sender balon balon pas buka accpun gaada gkpapa sih agk sedih dikit gin hehehe,"[0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.16666666666666666, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333]","[5.343805421853684, 6.52246041819533, 5.829313237635384, 4.245193133185574, 4.1710851610318525, 5.075541435259004, 3.4428466606606367, 4.124565145396959, 7.215607598755275, 3.5780214390288894, 5.6061696863211745]","[0.445317118487807, 0.5435383681829441, 0.485776103136282, 0.35376609443213114, 0.34759043008598767, 0.42296178627158365, 0.5738077767767727, 0.34371376211641325, 0.6013006332296063, 0.29816845325240743, 0.4671808071934312]"
728,tolong saran proker sekbid timakasii,"[0.5, 0.5]","[4.03755376840733, 4.412247217848741]","[2.018776884203665, 2.2061236089243703]"
729,belanja socolla gatau barang otw klik kah konfirmasi pesan klik pas barang udah https tco,"[0.18181818181818182, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.18181818181818182, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091]","[6.116995310087166, 5.343805421853684, 2.2992829841302607, 5.6061696863211745, 7.215607598755275, 4.1710851610318525, 6.52246041819533, 2.2992829841302607, 3.5780214390288894]","[1.1121809654703938, 0.48580049289578947, 0.2090257258300237, 0.5096517896655613, 1.3119286543191409, 0.3791895600938048, 0.5929509471086664, 0.2090257258300237, 0.3252746762753536]"
730,suka sahabat lawan jenis yay or nay trus knpah,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[6.116995310087166, 6.29931686688112, 6.29931686688112, 5.4238481295272205, 6.52246041819533, 4.2978368666709965, 5.6061696863211745, 6.29931686688112]","[0.7646244137608957, 0.78741460836014, 0.78741460836014, 0.6779810161909026, 0.8153075522744162, 0.5372296083338746, 0.7007712107901468, 0.78741460836014]"
731,saranin singkat nama kelas yg unik unik lucu tetep sopan xii akuntansi doong pliss bgt kelas bikin baju sragaman bingung tulis,"[0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.06666666666666667]","[6.52246041819533, 3.7978809151419095, 4.817712325956904, 4.730700948967275, 5.51085950651685, 5.4238481295272205, 5.200704578213011, 6.810142490647111, 4.817712325956904, 5.6061696863211745, 7.215607598755275, 7.90875477931522, 2.8525089739669127]","[0.4348306945463553, 0.2531920610094606, 0.3211808217304603, 0.315380063264485, 0.7347812675355799, 0.3615898753018147, 0.34671363854753406, 0.45400949937647406, 0.3211808217304603, 0.373744645754745, 0.48104050658368497, 1.0545006372420294, 0.1901672649311275]"
732,kalo diinget sedih dikit sksk https tco tyjilpwpjj,"[0.2, 0.2, 0.2, 0.2, 0.2]","[6.52246041819533, 2.2992829841302607, 3.2547944291576973, 5.075541435259004, 2.2992829841302607]","[1.304492083639066, 0.4598565968260522, 0.6509588858315395, 1.015108287051801, 0.4598565968260522]"
733,allah ayang cakep banget aaa,"[0.25, 0.25, 0.25, 0.25]","[6.810142490647111, 5.711530201979001, 3.81441021709312, 6.810142490647111]","[1.7025356226617778, 1.4278825504947503, 0.95360255427328, 1.7025356226617778]"
734,cw tw alkohol alcohol belum im sorry for asking udah umur legal do any of you have alcohol recommendations for beginner btw udah diizinin ortu minum titip,"[0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.09523809523809523, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.09523809523809523, 0.047619047619047616, 0.047619047619047616]","[7.215607598755275, 6.810142490647111, 6.810142490647111, 5.200704578213011, 5.13616605707544, 6.810142490647111, 5.829313237635384, 5.829313237635384, 5.829313237635384, 6.52246041819533, 5.51085950651685, 5.829313237635384, 5.829313237635384, 6.52246041819533, 4.773260563386071, 5.962844630259907, 3.5780214390288894, 5.829313237635384, 4.730700948967275]","[0.34360036184548925, 0.3242924995546243, 0.3242924995546243, 0.2476525989625243, 0.2445793360512114, 0.3242924995546243, 0.277586344649304, 0.555172689298608, 0.277586344649304, 0.3105933532473966, 0.2624218812627071, 0.277586344649304, 0.277586344649304, 0.3105933532473966, 0.22729812206600336, 0.2839449823933289, 0.3407639465741799, 0.277586344649304, 0.22527147376034642]"
735,sffh mwu mwtwlan akun rant brisik,"[0.5, 0.5]","[4.96431580014878, 5.962844630259907]","[2.48215790007439, 2.9814223151299535]"
736,folls sm following ig tiba kurang gakk,"[0.2, 0.2, 0.2, 0.2, 0.2]","[6.29931686688112, 4.507557397653065, 7.215607598755275, 5.200704578213011, 6.29931686688112]","[1.2598633733762241, 0.9015114795306132, 1.4431215197510552, 1.0401409156426022, 1.2598633733762241]"
737,context tema tugas novel horror romance or slice of life,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]","[6.810142490647111, 6.810142490647111, 5.829313237635384, 5.4238481295272205, 7.215607598755275, 6.52246041819533, 5.13616605707544]","[0.972877498663873, 0.972877498663873, 0.832759033947912, 0.7748354470753172, 1.0308010855364678, 0.9317800597421899, 0.7337380081536342]"
738,oktober sucks,[1.0],[6.29931686688112],[6.29931686688112]
739,drop photo dump yukk,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[5.343805421853684, 6.810142490647111, 6.810142490647111]","[1.781268473951228, 2.2700474968823703, 2.2700474968823703]"
740,sih gais coba praktekin deh https tco udlxsc,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[4.91302250576123, 5.962844630259907, 4.650658241293739, 2.2992829841302607, 4.124565145396959, 2.2992829841302607]","[0.8188370842935383, 0.9938074383766511, 0.7751097068822898, 0.3832138306883768, 0.6874275242328265, 0.3832138306883768]"
741,hmm hmm hmm https tco gymwmyghtb,"[0.6, 0.2, 0.2]","[7.215607598755275, 2.2992829841302607, 2.2992829841302607]","[4.329364559253165, 0.4598565968260522, 0.4598565968260522]"
742,busett indihome deh faghhh,[1.0],[5.962844630259907],[5.962844630259907]
743,wa cowoku ngomong gt dgn kondisi kmrn pake baju kemeja sm rok karna mamah tinggal jd ga mikirin baju gmna make yg gampang aja liat isi sedih si niat ngehibur yg hari tinggal mamah cont,"[0.03225806451612903, 0.06451612903225806, 0.03225806451612903, 0.03225806451612903, 0.03225806451612903, 0.03225806451612903, 0.03225806451612903, 0.03225806451612903, 0.03225806451612903, 0.03225806451612903, 0.03225806451612903, 0.03225806451612903, 0.03225806451612903, 0.03225806451612903, 0.03225806451612903, 0.03225806451612903, 0.06451612903225806, 0.03225806451612903, 0.03225806451612903, 0.03225806451612903, 0.03225806451612903, 0.03225806451612903, 0.03225806451612903, 0.03225806451612903, 0.06451612903225806, 0.03225806451612903, 0.06451612903225806]","[3.883403088580071, 6.52246041819533, 4.2978368666709965, 6.810142490647111, 2.7326050467413916, 6.810142490647111, 6.810142490647111, 5.962844630259907, 6.116995310087166, 5.075541435259004, 5.343805421853684, 5.829313237635384, 6.29931686688112, 6.810142490647111, 4.612917913310891, 6.116995310087166, 7.215607598755275, 6.810142490647111, 5.4238481295272205, 6.29931686688112, 3.9769291465908947, 5.075541435259004, 4.612917913310891, 5.200704578213011, 5.829313237635384, 5.711530201979001, 2.8525089739669127]","[0.12527106737355068, 0.42080389794808576, 0.13863989892487086, 0.21968201582732616, 0.0881485498948836, 0.21968201582732616, 0.21968201582732616, 0.19234982678257764, 0.19732242935765051, 0.1637271430728711, 0.17238082005979627, 0.18804236250436723, 0.20320376989939096, 0.21968201582732616, 0.14880380365519003, 0.19732242935765051, 0.4655230708874371, 0.21968201582732616, 0.17496284288797484, 0.20320376989939096, 0.12828803698680305, 0.1637271430728711, 0.14880380365519003, 0.16776466381332292, 0.37608472500873447, 0.1842429097412581, 0.1840328370301234]"
744,hidup kadang adil,"[0.5, 0.5]","[6.29931686688112, 5.51085950651685]","[3.14965843344056, 2.755429753258425]"
745,gais saranin sambel an anak kost,"[0.25, 0.25, 0.25, 0.25]","[5.829313237635384, 4.650658241293739, 4.650658241293739, 4.817712325956904]","[1.457328309408846, 1.1626645603234347, 1.1626645603234347, 1.204428081489226]"
746,gmn https tco ulazjfsqdm,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[5.51085950651685, 2.2992829841302607, 2.2992829841302607]","[1.8369531688389498, 0.7664276613767536, 0.7664276613767536]"
747,yg word gimana udh bom,"[0.2, 0.2, 0.2, 0.2, 0.2]","[6.116995310087166, 3.749871695955549, 5.018383021419056, 7.215607598755275, 2.8525089739669127]","[1.2233990620174333, 0.7499743391911098, 1.0036766042838112, 1.4431215197510552, 0.5705017947933826]"
748,sie acara bikin yearbook mending ambil rundown tema,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[6.116995310087166, 4.817712325956904, 4.864232341591798, 6.810142490647111, 6.52246041819533, 6.810142490647111]","[1.0194992183478608, 0.8029520543261507, 0.8107053902652996, 1.1350237484411851, 1.0870767363658882, 1.1350237484411851]"
749,hloe guise crush wibu kpopers bye oppa korea ak mw pacar cwok enimku tlg gais kiat mnjdi cewek enim,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[5.4238481295272205, 5.829313237635384, 4.507557397653065, 4.650658241293739, 7.215607598755275, 6.810142490647111, 6.52246041819533, 4.412247217848741]","[0.6779810161909026, 0.728664154704423, 0.5634446747066332, 0.5813322801617173, 0.9019509498444094, 0.8512678113308889, 0.8153075522744162, 0.5515309022310926]"
750,sender join panitia trs tdi pas lgi encok nya ngurus tetiba ad kk panitia tamvan sender bru liat sihdia jrng kontribusi yh tdi brdiri dpn sender sngat pelukable pen back hug smbl blng bru liat kakak tamvan maybe jwb iyhsoalnya bru nyadar ad kmu,"[0.07407407407407407, 0.037037037037037035, 0.1111111111111111, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.07407407407407407, 0.037037037037037035, 0.037037037037037035, 0.07407407407407407, 0.037037037037037035, 0.1111111111111111, 0.07407407407407407, 0.07407407407407407, 0.037037037037037035, 0.037037037037037035]","[6.116995310087166, 6.52246041819533, 7.215607598755275, 6.810142490647111, 6.810142490647111, 6.52246041819533, 6.116995310087166, 6.52246041819533, 4.612917913310891, 6.810142490647111, 6.810142490647111, 7.215607598755275, 4.1710851610318525, 3.4428466606606367, 7.90875477931522, 6.29931686688112, 4.864232341591798, 5.51085950651685]","[0.4531107637101604, 0.24157260808130848, 0.801734177639475, 0.2522274996535967, 0.2522274996535967, 0.24157260808130848, 0.2265553818550802, 0.24157260808130848, 0.3416976232082142, 0.2522274996535967, 0.2522274996535967, 0.53448945175965, 0.15448463559377232, 0.3825385178511818, 0.585833687356683, 0.4666160642134163, 0.1801567533922888, 0.2041059076487722]"
751,udahan sih acara kue sus takut banget tidur was was,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857]","[3.81441021709312, 6.52246041819533, 4.124565145396959, 4.474767574830074, 4.730700948967275, 6.52246041819533]","[0.5449157452990171, 0.9317800597421899, 0.5892235921995655, 0.6392525106900105, 0.6758144212810393, 1.8635601194843798]"
752,wta wta pls serius only sender cwe bgt panggil bot sm temen ni mksdnya bot tuh pls yg jwb bonceng,"[0.05555555555555555, 0.1111111111111111, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.1111111111111111, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.1111111111111111, 0.05555555555555555]","[3.7978809151419095, 6.810142490647111, 6.52246041819533, 6.810142490647111, 6.116995310087166, 6.810142490647111, 6.29931686688112, 5.711530201979001, 3.4428466606606367, 6.29931686688112, 5.200704578213011, 4.1475546636216585, 4.541458949328746, 6.810142490647111, 2.8525089739669127]","[0.21099338417455052, 0.7566824989607901, 0.36235891212196275, 0.37834124948039505, 0.3398330727826203, 0.37834124948039505, 0.3499620481600622, 0.6346144668865557, 0.1912692589255909, 0.3499620481600622, 0.28892803212294504, 0.23041970353453656, 0.2523032749627081, 0.7566824989607901, 0.15847272077593957]"
753,nnn serius nanya,"[0.5, 0.5]","[5.269697449699962, 6.29931686688112]","[2.634848724849981, 3.14965843344056]"
754,say you love me,"[0.25, 0.25, 0.25, 0.25]","[5.343805421853684, 5.075541435259004, 6.810142490647111, 4.730700948967275]","[1.335951355463421, 1.268885358814751, 1.7025356226617778, 1.1826752372418188]"
755,titip ges https tco tgafaevcrs,"[0.25, 0.25, 0.25, 0.25]","[5.829313237635384, 2.2992829841302607, 2.2992829841302607, 4.773260563386071]","[1.457328309408846, 0.5748207460325652, 0.5748207460325652, 1.1933151408465177]"
756,wanita muslim lelaki rumah ngajak gak posisi single kalo yg,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]","[3.689247074139114, 3.2547944291576973, 6.29931686688112, 5.962844630259907, 5.962844630259907, 4.817712325956904, 2.8525089739669127]","[0.5270352963055877, 0.4649706327368139, 0.8999024095544457, 0.8518349471799866, 0.8518349471799866, 0.6882446179938434, 0.40750128199527325]"
757,haloo teman dump a cc ig drop username aja samperin dm make sure to check ur dm afterwards ok,"[0.07692307692307693, 0.15384615384615385, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693]","[3.883403088580071, 4.864232341591798, 5.343805421853684, 6.810142490647111, 6.810142490647111, 4.507557397653065, 6.116995310087166, 6.810142490647111, 5.829313237635384, 4.773260563386071, 7.215607598755275, 6.52246041819533]","[0.29872331450615935, 0.7483434371679689, 0.4110619555272065, 0.5238571146651624, 0.5238571146651624, 0.3467351844348512, 0.4705381007759359, 0.5238571146651624, 0.4484087105873373, 0.36717388949123625, 0.5550467383657904, 0.5017277244765639]"
758,pap chat terandom doi xixi,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[5.51085950651685, 6.29931686688112, 6.116995310087166]","[1.8369531688389498, 2.099772288960373, 2.0389984366957217]"
759,rasain kalo jodoh alias blm ketemu skrg,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[6.52246041819533, 5.51085950651685, 7.215607598755275, 3.2547944291576973, 5.343805421853684, 6.116995310087166]","[1.0870767363658882, 0.9184765844194749, 1.2026012664592125, 0.5424657381929495, 0.890634236975614, 1.0194992183478608]"
760,lolos prakerja yaa trs udah beli latih abis liat latih sblh yaa maaf gatau,"[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222]","[4.96431580014878, 4.689878954447019, 5.343805421853684, 4.612917913310891, 5.4238481295272205, 4.864232341591798, 3.5780214390288894, 4.245193133185574]","[0.5515906444609755, 0.5210976616052243, 0.5937561579837426, 0.5125464348123212, 0.6026497921696912, 0.5404702601768664, 0.39755793766987657, 0.9433762518190164]"
761,ga random ngingetin mantan,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[2.7326050467413916, 5.200704578213011, 5.829313237635384]","[0.9108683489137972, 1.7335681927376703, 1.943104412545128]"
